Product Name,SKU,Price,Cost,Quantity,Category,Description,Brand,Barcode
Fresh Bananas (per dozen),GRO001,60.00,35.00,500,Fruits & Vegetables,Fresh ripe bananas - Rich in potassium,Farm Fresh,8901234567001
Tomatoes (1 kg),GRO002,45.00,25.00,300,Fruits & Vegetables,Fresh red tomatoes - Premium quality,Local Farm,8901234567002
Onions (1 kg),GRO003,35.00,20.00,400,Fruits & Vegetables,Fresh white onions,Local Farm,8901234567003
Potatoes (1 kg),GRO004,30.00,18.00,450,Fruits & Vegetables,Fresh potatoes for cooking,Farm Fresh,8901234567004
Green Chillies (100g),GRO005,15.00,8.00,200,Fruits & Vegetables,Fresh green chillies - Spicy,Local Farm,8901234567005
Fresh Coriander (bunch),GRO006,20.00,10.00,150,Fruits & Vegetables,Fresh coriander leaves,Farm Fresh,8901234567006
Apples (1 kg),GRO007,180.00,120.00,250,Fruits & Vegetables,Fresh Shimla apples - Premium,Farm Fresh,8901234567007
Oranges (1 kg),GRO008,100.00,65.00,200,Fruits & Vegetables,Sweet oranges - Vitamin C rich,Farm Fresh,8901234567008
Carrots (500g),GRO009,25.00,15.00,300,Fruits & Vegetables,Fresh carrots - Crunchy,Local Farm,8901234567009
Spinach (bunch),GRO010,30.00,18.00,180,Fruits & Vegetables,Fresh spinach leaves - Iron rich,Farm Fresh,8901234567010
Amul Milk (1L),GRO011,65.00,58.00,500,Dairy & Eggs,Full cream milk - Pasteurized,Amul,8901234567011
Amul Butter (500g),GRO012,285.00,250.00,200,Dairy & Eggs,Salted butter - Pure,Amul,8901234567012
Amul Cheese (200g),GRO013,140.00,120.00,150,Dairy & Eggs,Processed cheese - Mozzarella,Amul,8901234567013
Fresh Eggs (12 pieces),GRO014,90.00,70.00,300,Dairy & Eggs,Farm fresh eggs - Brown,Keggs,8901234567014
Curd/Dahi (500g),GRO015,45.00,35.00,250,Dairy & Eggs,Fresh curd - Probiotic,Amul,8901234567015
Paneer (200g),GRO016,95.00,80.00,180,Dairy & Eggs,Fresh cottage cheese,Amul,8901234567016
White Bread (400g),GRO017,45.00,30.00,200,Bakery,Soft white bread - Sandwich,Britannia,8901234567017
Brown Bread (400g),GRO018,55.00,38.00,180,Bakery,Whole wheat brown bread,Britannia,8901234567018
Milk Bread (400g),GRO019,50.00,35.00,150,Bakery,Soft milk bread - Premium,Modern,8901234567019
